internalId,category,tier,hidden,nameStatus,firstRound,enabled,taptapId
C02,舰船工程,bronze,false,placeholder,false,false,
C03,舰船工程,silver,false,placeholder,false,false,
C04,舰船工程,silver,false,placeholder,false,false,
C05,舰船工程,silver,false,placeholder,false,false,
C06,舰船工程,silver,false,placeholder,false,false,
C07,舰船工程,silver,false,placeholder,false,false,
C08,舰船工程,gold,false,placeholder,false,false,
C09,舰船工程,gold,false,placeholder,false,false,
C10,舰船工程,gold,false,placeholder,false,false,
C11,舰船工程,bronze,false,placeholder,false,false,
C12,舰船工程,gold,false,placeholder,false,false,
C13,舰船工程,legendary,false,placeholder,false,false,
C14,舰船工程,gold,false,placeholder,false,false,
D01,装备/增强剂,gold,false,placeholder,false,false,
D02,装备/增强剂,gold,false,placeholder,false,false,
D03,装备/增强剂,gold,false,placeholder,false,false,
D04,装备/增强剂,gold,false,placeholder,false,false,
D05,装备/增强剂,gold,false,placeholder,false,false,
D06,装备/增强剂,gold,false,placeholder,false,false,
D07,装备/增强剂,gold,false,placeholder,false,false,
D08,装备/增强剂,gold,false,placeholder,false,false,
D09,装备/增强剂,gold,false,placeholder,false,false,
D10,装备/增强剂,gold,false,placeholder,false,false,
D11,装备/增强剂,bronze,false,placeholder,false,false,
D12,装备/增强剂,silver,false,placeholder,false,false,
D13,装备/增强剂,bronze,false,placeholder,false,false,
D14,装备/增强剂,bronze,false,placeholder,false,false,
D15,装备/增强剂,bronze,false,placeholder,false,false,
D16,装备/增强剂,bronze,false,placeholder,false,false,
D17,装备/增强剂,bronze,false,placeholder,false,false,
D18,装备/增强剂,legendary,false,placeholder,false,false,
E01,战斗,silver,false,placeholder,false,false,
E02,战斗,silver,false,placeholder,false,false,
E03,战斗,silver,false,placeholder,false,false,
E04,战斗,silver,false,placeholder,false,false,
E05,战斗,silver,false,placeholder,false,false,
E06,战斗,silver,false,placeholder,false,false,
E07,战斗,silver,false,placeholder,false,false,
E08,战斗,silver,false,placeholder,false,false,
E09,战斗,silver,false,placeholder,false,false,
E10,战斗,silver,false,placeholder,false,false,
E11,战斗,silver,false,placeholder,false,false,
E12,战斗,silver,false,placeholder,false,false,
E13,战斗,silver,false,placeholder,false,false,
E14,战斗,silver,false,placeholder,false,false,
E15,战斗,silver,false,placeholder,false,false,
E16,战斗,silver,false,placeholder,false,false,
E17,战斗,silver,false,placeholder,false,false,
E18,战斗,silver,false,placeholder,false,false,
E19,战斗,legendary,false,placeholder,false,false,
E20,战斗,silver,false,placeholder,false,false,
E21,战斗,silver,false,placeholder,false,false,
E22,战斗,silver,false,placeholder,false,false,
E23,战斗,silver,false,placeholder,false,false,
E24,战斗,gold,false,placeholder,false,false,
E25,战斗,legendary,false,placeholder,false,false,
E26,战斗,silver,false,placeholder,false,false,
E27,战斗,gold,false,placeholder,false,false,
E29,战斗,legendary,true,placeholder,false,false,
E30,战斗,gold,false,placeholder,false,false,
E31,战斗,gold,false,placeholder,false,false,
E32,战斗,gold,false,placeholder,false,false,
E33,战斗,gold,false,placeholder,false,false,
F01,考古,bronze,false,placeholder,false,false,
F02,考古,silver,false,placeholder,false,false,
F03,考古,silver,false,placeholder,false,false,
F04,考古,silver,false,placeholder,false,false,
F05,考古,silver,false,placeholder,false,false,
F06,考古,silver,false,placeholder,false,false,
F07,考古,silver,false,placeholder,false,false,
F08,考古,silver,false,placeholder,false,false,
F09,考古,silver,false,placeholder,false,false,
F10,考古,silver,false,placeholder,false,false,
F11,考古,silver,false,placeholder,false,false,
F12,考古,silver,false,placeholder,false,false,
F13,考古,silver,false,placeholder,false,false,
F14,考古,silver,false,placeholder,false,false,
F15,考古,silver,false,placeholder,false,false,
F16,考古,silver,false,placeholder,false,false,
F17,考古,gold,false,placeholder,false,false,
F18,考古,bronze,false,placeholder,false,false,
F19,考古,silver,false,placeholder,false,false,
F20,考古,silver,false,placeholder,false,false,
F21,考古,gold,false,placeholder,false,false,
F22,考古,gold,false,placeholder,false,false,
G01,行星,bronze,false,provisional,true,false,
G02,行星,bronze,false,provisional,true,false,
G03,行星,bronze,false,provisional,true,false,
G04,行星,bronze,false,provisional,true,false,
G05,行星,bronze,false,provisional,true,false,
G06,行星,bronze,false,provisional,true,false,
G07,行星,silver,false,provisional,false,false,
G09,行星,silver,false,provisional,false,false,
G10,行星,gold,false,provisional,false,false,
H01,空间站,bronze,false,placeholder,false,false,
H02,空间站,silver,false,placeholder,false,false,
H03,空间站,gold,false,placeholder,false,false,
H04,空间站,gold,false,placeholder,false,false,
H05,空间站,gold,false,placeholder,false,false,
H06,空间站,gold,false,placeholder,false,false,
H07,空间站,gold,false,placeholder,false,false,
H08,空间站,gold,false,placeholder,false,false,
H09,空间站,gold,false,placeholder,false,false,
H10,空间站,gold,false,placeholder,false,false,
H11,空间站,bronze,false,placeholder,false,false,
H12,空间站,silver,false,placeholder,false,false,
H13,空间站,gold,false,placeholder,false,false,
H15,空间站,silver,false,placeholder,false,false,
H16,空间站,gold,false,placeholder,false,false,
I01,经济,bronze,false,placeholder,false,false,
I02,经济,silver,false,placeholder,false,false,
I03,经济,gold,false,placeholder,false,false,
I04,经济,bronze,false,placeholder,false,false,
I05,经济,bronze,false,placeholder,false,false,
I06,经济,bronze,false,placeholder,false,false,
I07,经济,bronze,false,placeholder,false,false,
I08,经济,bronze,false,placeholder,false,false,
I09,经济,bronze,false,placeholder,false,false,
I10,经济,bronze,false,placeholder,false,false,
I11,经济,silver,false,placeholder,false,false,
I12,经济,silver,false,placeholder,false,false,
J01,综合,bronze,false,placeholder,false,false,
J02,综合,silver,false,placeholder,false,false,
J03,综合,bronze,false,placeholder,false,false,
J04,综合,silver,false,placeholder,false,false,
J05,综合,silver,false,placeholder,false,false,
J06,综合,gold,false,placeholder,false,false,
J10,综合,gold,false,placeholder,false,false,
J11,综合,legendary,false,placeholder,false,false,
J12,综合,legendary,true,placeholder,false,false,
