编号,分类,触发条件/建议,难度档,隐藏,成就名（待填）,备注,名称状态,触发器(JSON),奖励(JSON),Steam启用,Steam API Name,Steam进度 Stat API Name,Steam进度上限
A41,技能,技能 <无人机> 达到 99 级,金,否,待命名成就 · A41,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A42,技能,技能 <考古> 达到 99 级,金,否,待命名成就 · A42,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A43,技能,全部战斗技能到达Lv.99,金,否,待命名成就 · A43,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A44,技能,任意 5 项技能达 Lv.80,银,否,待命名成就 · A44,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A45,技能,任意 10 项技能达 Lv.90,金,否,待命名成就 · A45,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A46,技能,全部技能达 Lv.50,银,否,待命名成就 · A46,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
A47,技能,全部战斗技能达 Lv.80,金,否,待命名成就 · A47,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
A48,技能,全部技能达 Lv.99,传奇,否,待命名成就 · A48,终极,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
B01,采矿工业,首次采集 铁硅原矿,铜,否,待命名成就 · B01,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B02,采矿工业,首次采集 赤镍矿,铜,否,待命名成就 · B02,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B03,采矿工业,首次采集 蓝硼晶,铜,否,待命名成就 · B03,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B04,采矿工业,首次采集 同位晶簇,铜,否,待命名成就 · B04,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B05,采矿工业,首次采集 诺瓦矿,铜,否,待命名成就 · B05,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B06,采矿工业,首次采集 重锆岩,铜,否,待命名成就 · B06,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B07,采矿工业,首次采集 极星矿,铜,否,待命名成就 · B07,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B08,采矿工业,首次冶炼 标准钛材,铜,否,待命名成就 · B08,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B09,采矿工业,首次冶炼 银镍合金,铜,否,待命名成就 · B09,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B10,采矿工业,首次冶炼 晶格聚合物,铜,否,待命名成就 · B10,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B11,采矿工业,首次冶炼 同位复材,铜,否,待命名成就 · B11,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B12,采矿工业,首次冶炼 诺瓦陶金,铜,否,待命名成就 · B12,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B13,采矿工业,首次冶炼 重锆晶材,铜,否,待命名成就 · B13,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B14,采矿工业,首次冶炼 奇点合金,铜,否,待命名成就 · B14,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B15,采矿工业,"累计采矿 1,000,000",银,否,待命名成就 · B15,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
B16,采矿工业,"累计采矿 100,000,000",金,否,待命名成就 · B16,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
B17,采矿工业,首次气体采集,铜,否,待命名成就 · B17,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
B18,采矿工业,"累计气体 1,000,000",银,否,待命名成就 · B18,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
C01,舰船工程,制造首个舰船部件,铜,否,待命名成就 · C01,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
C02,舰船工程,总装首艘舰船,铜,否,待命名成就 · C02,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
C03,舰船工程,总装首艘 天穹级,银,否,待命名成就 · C03,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
C04,舰船工程,总装首艘 重垒级,银,否,待命名成就 · C04,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
C05,舰船工程,总装首艘 裂界级,银,否,待命名成就 · C05,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
C06,舰船工程,总装首艘 山海级,银,否,待命名成就 · C06,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
C07,舰船工程,总装首艘 启明级,银,否,待命名成就 · C07,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
C08,舰船工程,总装首艘 星冕级,金,否,待命名成就 · C08,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
C09,舰船工程,总装首艘 恒城级,金,否,待命名成就 · C09,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
C10,舰船工程,总装首艘 裁决级,金,否,待命名成就 · C10,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
C11,舰船工程,获得首张蓝图,铜,否,待命名成就 · C11,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
C12,舰船工程,累计建造 50 艘旗舰,金,否,待命名成就 · C12,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
C13,舰船工程,累计建造 25 艘超级旗舰,传奇,否,待命名成就 · C13,,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
C14,舰船工程,舰船工程达 Lv.99,金,否,待命名成就 · C14,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D01,装备/增强剂,制造 传奇品质 纳米采掘润滑剂 ,金,否,待命名成就 · D01,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D02,装备/增强剂,制造 传奇品质 富矿共振催化剂,金,否,待命名成就 · D02,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D03,装备/增强剂,制造 传奇品质 遗迹解析液,金,否,待命名成就 · D03,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D04,装备/增强剂,制造 传奇品质 文物示踪剂 ,金,否,待命名成就 · D04,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D05,装备/增强剂,制造 传奇品质 激光炮冷却剂 ,金,否,待命名成就 · D05,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D06,装备/增强剂,制造 传奇品质 导弹燃烧催化剂 ,金,否,待命名成就 · D06,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D07,装备/增强剂,制造 传奇品质火炮增压药 ,金,否,待命名成就 · D07,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D08,装备/增强剂,制造 传奇品质 护盾回充液 ,金,否,待命名成就 · D08,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D09,装备/增强剂,制造 传奇品质 装甲纳米修复剂 ,金,否,待命名成就 · D09,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D10,装备/增强剂,制造 传奇品质 结构再生胶,金,否,待命名成就 · D10,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
D11,装备/增强剂,制造首个任意增强剂,铜,否,待命名成就 · D11,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
D12,装备/增强剂,"累计制造 1,000 个增强剂",银,否,待命名成就 · D12,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
D13,装备/增强剂,首次装备制造,铜,否,待命名成就 · D13,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
D14,装备/增强剂,首次燃料制造,铜,否,待命名成就 · D14,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
D15,装备/增强剂,首次弹药制造,铜,否,待命名成就 · D15,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
D16,装备/增强剂,首次装备强化,铜,否,待命名成就 · D16,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
D17,装备/增强剂,制造首件改装件,铜,否,待命名成就 · D17,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
D18,装备/增强剂,集齐全部 45 件改装件,传奇,否,待命名成就 · D18,,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
E01,战斗,首次通关战斗星带：苍穹劫团前哨站,银,否,待命名成就 · E01,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E02,战斗,首次通关战斗星带：赤誓教团隐蔽所,银,否,待命名成就 · E02,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E03,战斗,首次通关战斗星带：静默集群哨站,银,否,待命名成就 · E03,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E04,战斗,首次通关战斗星带：苍穹劫团劫掠走廊,银,否,待命名成就 · E04,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E05,战斗,首次通关战斗星带：赤誓教团献祭场,银,否,待命名成就 · E05,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E06,战斗,首次通关战斗星带：静默集群控制节点,银,否,待命名成就 · E06,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E07,战斗,首次通关战斗星带：苍穹劫团猎杀空域,银,否,待命名成就 · E07,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E08,战斗,首次通关战斗星带：赤誓教团深红圣堂,银,否,待命名成就 · E08,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E09,战斗,首次通关战斗星带：静默集群同化枢纽,银,否,待命名成就 · E09,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E10,战斗,首次通关战斗星带：苍穹劫团破阵战场,银,否,待命名成就 · E10,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E11,战斗,首次通关战斗星带：赤誓教团铁血圣殿,银,否,待命名成就 · E11,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E12,战斗,首次通关战斗星带：静默集群统御矩阵,银,否,待命名成就 · E12,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E13,战斗,首次通关战斗星带：苍穹劫团外环侵袭区,银,否,待命名成就 · E13,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E14,战斗,首次通关战斗星带：赤誓教团外环圣库,银,否,待命名成就 · E14,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E15,战斗,首次通关战斗星带：静默集群外环同化阵列,银,否,待命名成就 · E15,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E16,战斗,首次通关战斗星带：苍穹劫团深域王庭,银,否,待命名成就 · E16,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E17,战斗,首次通关战斗星带：赤誓教团深域圣殿,银,否,待命名成就 · E17,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E18,战斗,首次通关战斗星带：静默集群深域主脑,银,否,待命名成就 · E18,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E19,战斗,通关全部 18 个战斗星带,传奇,否,待命名成就 · E19,,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
E20,战斗,在某星带打到第 20 波,银,否,待命名成就 · E20,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E21,战斗,用激光炮通关一个星带,银,否,待命名成就 · E21,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E22,战斗,用火炮通关一个星带,银,否,待命名成就 · E22,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E23,战斗,用导弹通关一个星带,银,否,待命名成就 · E23,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E24,战斗,击杀首艘旗舰级敌人,金,否,待命名成就 · E24,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
E25,战斗,击杀首艘超级旗舰级敌人,传奇,否,待命名成就 · E25,,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
E26,战斗,首次进入死亡空间,银,否,待命名成就 · E26,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
E27,战斗,完整通关一次死亡空间,金,否,待命名成就 · E27,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
E29,战斗,无伤通关一个星带,传奇,是,待命名成就 · E29,,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
E30,战斗,"单场战斗累计造成伤害 ≥ 1,000,000",金,否,待命名成就 · E30,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
E31,战斗,击败苍穹劫团阵营 boss,金,否,待命名成就 · E31,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
E32,战斗,击败赤誓教团阵营 boss,金,否,待命名成就 · E32,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
E33,战斗,击败静默集群阵营 boss,金,否,待命名成就 · E33,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
F01,考古,首次扫描遗迹,铜,否,待命名成就 · F01,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
F02,考古,首次解析遗迹：失落信标残骸,银,否,待命名成就 · F02,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F03,考古,首次解析遗迹：远古殖民舱,银,否,待命名成就 · F03,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F04,考古,首次解析遗迹：漂流货柜群,银,否,待命名成就 · F04,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F05,考古,首次解析遗迹：破碎巡防站,银,否,待命名成就 · F05,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F06,考古,首次解析遗迹：废弃采矿平台,银,否,待命名成就 · F06,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F07,考古,首次解析遗迹：星图中继塔,银,否,待命名成就 · F07,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F08,考古,首次解析遗迹：沉睡战列残骸,银,否,待命名成就 · F08,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F09,考古,首次解析遗迹：湮灭实验室,银,否,待命名成就 · F09,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F10,考古,首次解析遗迹：深空方尖碑,银,否,待命名成就 · F10,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F11,考古,首次解析遗迹：湮灭旗舰坟场,银,否,待命名成就 · F11,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F12,考古,首次解析遗迹：虚空研究所,银,否,待命名成就 · F12,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F13,考古,首次解析遗迹：远古跃迁枢纽,银,否,待命名成就 · F13,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F14,考古,首次解析遗迹：失落文明圣殿,银,否,待命名成就 · F14,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F15,考古,首次解析遗迹：湮灭母舰核心,银,否,待命名成就 · F15,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F16,考古,首次解析遗迹：深渊观测站,银,否,待命名成就 · F16,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F17,考古,完成全部 5 档考古,金,否,待命名成就 · F17,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
F18,考古,首次出售文物,铜,否,待命名成就 · F18,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
F19,考古,累计出售 100 文物,银,否,待命名成就 · F19,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F20,考古,"累计获得 10,000 功勋",银,否,待命名成就 · F20,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
F21,考古,触发首次稀有掉落,金,否,待命名成就 · F21,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
F22,考古,考古达 Lv.99,金,否,待命名成就 · F22,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
G01,行星,首次殖民 熔岩行星,铜,否,好球,,provisional,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
G02,行星,首次殖民 气态行星,铜,否,这球好白，哦不，好大,,provisional,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
G03,行星,首次殖民 冰行星,铜,否,也是好球,,provisional,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
G04,行星,首次殖民 等离子行星,铜,否,真正的好球,,provisional,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
G05,行星,首次殖民 温带行星,铜,否,我是来种菜的，你是要干什么,,provisional,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
G06,行星,首次殖民 风暴行星,铜,否,人称小气球,,provisional,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
G07,行星,同时运营 5 颗行星,银,否,你的粪勺请拿好,,provisional,,"{""type"":""research-hours"",""hours"":1}",否,,,
G09,行星,"累计行星产出 1,000,000",银,否,只要粪勺舞得好，哪有行星挖不倒,,provisional,,"{""type"":""research-hours"",""hours"":1}",否,,,
G10,行星,解锁全部行星槽位,金,否,黄金粪勺,,provisional,,"{""type"":""research-hours"",""hours"":2}",否,,,
H01,空间站,建成空间站本体 Lv.1,铜,否,待命名成就 · H01,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
H02,空间站,本体升至 Lv.3,银,否,待命名成就 · H02,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
H03,空间站,资源调度中心 升至 Lv.3,金,否,待命名成就 · H03,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H04,空间站,行星管控中心 升至 Lv.3,金,否,待命名成就 · H04,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H05,空间站,冶炼精炼厂 升至 Lv.3,金,否,待命名成就 · H05,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H06,空间站,装备制造厂 升至 Lv.3,金,否,待命名成就 · H06,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H07,空间站,增强剂制造厂 升至 Lv.3,金,否,待命名成就 · H07,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H08,空间站,考古实验室 升至 Lv.3,金,否,待命名成就 · H08,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H09,空间站,作战指挥中心 升至 Lv.3,金,否,待命名成就 · H09,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H10,空间站,舰船船坞 升至 Lv.3,金,否,待命名成就 · H10,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H11,空间站,完成首次建设队列,铜,否,待命名成就 · H11,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
H12,空间站,三条自动线同时运转,银,否,待命名成就 · H12,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
H13,空间站,综合后勤倍率达 +3%,金,否,待命名成就 · H13,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
H15,空间站,完成一次 >8h 离线结算,银,否,待命名成就 · H15,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
H16,空间站,舰船船坞升至 Lv.3,金,否,待命名成就 · H16,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
I04,经济,"持有 标准钛材 各 ≥ 1,000",铜,否,待命名成就 · I04,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I05,经济,"持有 银镍合金 各 ≥ 1,000",铜,否,待命名成就 · I05,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I06,经济,"持有 晶格聚合物 各 ≥ 1,000",铜,否,待命名成就 · I06,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I07,经济,"持有 同位复材 各 ≥ 1,000",铜,否,待命名成就 · I07,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I08,经济,"持有 诺瓦陶金 各 ≥ 1,000",铜,否,待命名成就 · I08,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I09,经济,"持有 重锆晶材 各 ≥ 1,000",铜,否,待命名成就 · I09,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I10,经济,"持有 奇点合金 各 ≥ 1,000",铜,否,待命名成就 · I10,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I01,经济,"持有 1,000,000 星币",铜,否,待命名成就 · I01,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
I02,经济,"持有 100,000,000 星币",银,否,待命名成就 · I02,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
I03,经济,"持有 1,000,000,000 星币",金,否,待命名成就 · I03,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
I11,经济,集齐全部月矿材料(铷/暗质晶核/等离子体/磁场聚合物),银,否,待命名成就 · I11,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
I12,经济,"物资总量首次突破 1,000,000",银,否,待命名成就 · I12,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
J01,综合,累计在线 24 小时,铜,否,待命名成就 · J01,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
J02,综合,累计在线 7 天,银,否,待命名成就 · J02,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
J03,综合,首次离线收益结算,铜,否,待命名成就 · J03,,placeholder,,"{""type"":""research-hours"",""hours"":0.5}",否,,,
J04,综合,累计离线等价 7 天,银,否,待命名成就 · J04,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
J05,综合,动作队列排满 25 项,银,否,待命名成就 · J05,,placeholder,,"{""type"":""research-hours"",""hours"":1}",否,,,
J06,综合,首次重创后维修并恢复出击,金,否,待命名成就 · J06,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
J10,综合,达成 50 项成就,金,否,待命名成就 · J10,,placeholder,,"{""type"":""research-hours"",""hours"":2}",否,,,
J11,综合,达成 100 项成就,传奇,否,待命名成就 · J11,,placeholder,,"{""type"":""research-hours"",""hours"":4}",否,,,
